"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"2","Disney Pixar Toy Story Pizza Planet Aliens T-Shirt","http://www.amazon.com//dp/B07THG628W","Visit the Disney Store","1","104","$22.99","Clothing, Shoes &amp; Jewelry","14,610","49","$1,127","1,065 ","4.6","-"
"3","Disney Men's Cars 3 Lightning McQueen Graphic T-Shirt","http://www.amazon.com//dp/B073SW33PQ","Visit the Disney Store","1","1","$19.00","Clothing, Shoes &amp; Jewelry","78,571","18","$342","443 ","4.6","-"
"4","Disney Pixar Inside Out 2 Today I Feel... Vintage Panels T-Shirt","http://www.amazon.com//dp/B0D2YCZW59","Visit the Disney Store","1","152","$22.99","Clothing, Shoes &amp; Jewelry","20,617","35","$805","305 ","4.5","-"
"5","Columbia Men's PFG Terminal Tackle Long Sleeve Shirt","http://www.amazon.com//dp/B07DQF6CWN","Visit the Columbia Store","1","323","$40.00","Clothing, Shoes &amp; Jewelry","1,762","559","$22,360","17,712 ","4.6","-"
"6","Disney Pirates of the Caribbean Dead Men Tell No Tales T-Shirt","http://www.amazon.com//dp/B0B72CLD9S","Visit the Disney Store","1","104","$22.99","Clothing, Shoes &amp; Jewelry","34,933","24","$552","276 ","4.7","-"
"7","Disney Moana Hei Hei Boat Snack Vintage Style Poster T-Shirt","http://www.amazon.com//dp/B07KXDRPDZ","Visit the Disney Store","1","282","$22.99","Clothing, Shoes &amp; Jewelry","23,874","31","$713","765 ","4.7","-"
"8","Disney The Three Caballeros Donald Duck Vintage Distressed T-Shirt","http://www.amazon.com//dp/B0BT8HN4SS","Visit the Disney Store","1","408","$22.99","Clothing, Shoes &amp; Jewelry","38,339","23","$529","269 ","4.7","-"
"9","Disney Mickey Mouse Classic Small Pose T-Shirt","http://www.amazon.com//dp/B07S6574CZ","Visit the Disney Store","1","633","$22.99","Clothing, Shoes &amp; Jewelry","47,037","21","$483","2,228 ","4.4","-"
"10","STAR WARS Men's Corellian Freighter T-Shirt","http://www.amazon.com//dp/B0CJKJQYGG","Visit the STAR WARS Store","1","1","$25.00","Clothing, Shoes &amp; Jewelry","36,140","24","$600","2,006 ","4.7","-"
"11","Life is Good Women's Crusher Tee, Short Sleeve Cotton Graphic T-Shirts, Watercolor Daisy Birds","http://www.amazon.com//dp/B08WGB51XF","Visit the Life is Good Store","1","1","$29.50","Clothing, Shoes &amp; Jewelry","20,063","36","$1,062","1,166 ","4.6","-"
"12","Disney Lilo &amp; Stitch Cool Stitch Neon Outline Chest Portrait T-Shirt","http://www.amazon.com//dp/B0D2FZVN4W","Visit the Disney Store","1","245","$22.99","Clothing, Shoes &amp; Jewelry","61,796","19","$437","16 ","4.4","-"
"13","Disney Goofy Totally Rad Dad Father’s Day Surfing Distressed T-Shirt","http://www.amazon.com//dp/B0BXQNG2FV","Visit the Disney Store","1","580","$22.99","Clothing, Shoes &amp; Jewelry","63,016","19","$437","151 ","4.8","-"
"14","Disney Men's Cars Lightning McQueen T-Shirt","http://www.amazon.com//dp/B09DQ5YB3B","Visit the Disney Store","1","1","$26.99","Clothing, Shoes &amp; Jewelry","45,516","21","$567","340 ","4.6","-"
"15","Disney Mickey And Friends Mickey And Pluto Retro Line T-Shirt","http://www.amazon.com//dp/B0823JM6RW","Visit the Disney Store","1","158","$22.99","Clothing, Shoes &amp; Jewelry","64,023","19","$437","1,393 ","4.6","-"
"16","Disney Mickey And Friends Disney Squad T-Shirt","http://www.amazon.com//dp/B0856LYWD7","Visit the Disney Store","1","289","$22.99","Clothing, Shoes &amp; Jewelry","48,455","21","$483","1,071 ","4.5","-"
"17","Life Is Good. Mens Crusher Tee Lig Flag Circle, Darkest Blue","http://www.amazon.com//dp/B07VVDFKSK","Visit the Life is Good Store","1","1","$23.91","Clothing, Shoes &amp; Jewelry","33,432","25","$598","426 ","4.8","-"
"18","Cricut Men's T-Shirt Blank, Crew Neck","http://www.amazon.com//dp/B07T94JQ8N","Visit the Cricut Store","1","1","$8.99","Arts, Crafts &amp; Sewing","15,712","6","$54","2 ","4.7","-"
"19","Disney Mickey Mouse Classic Pose T-Shirt","http://www.amazon.com//dp/B07S86D2K1","Visit the Disney Store","1","633","$22.99","Clothing, Shoes &amp; Jewelry","79,242","18","$414","2,106 ","4.5","-"
"20","Disney Pixar Cars Lightning McQueen Vintage Race T-Shirt","http://www.amazon.com//dp/B09FYLDLRL","Visit the Disney Store","1","104","$22.99","Clothing, Shoes &amp; Jewelry","55,877","20","$460","491 ","4.7","-"
"21","Disney Lilo &amp; Stitch Gamer Glitch Headset and Controller T-Shirt","http://www.amazon.com//dp/B097M9M3HD","Visit the Disney Store","1","274","$22.99","Clothing, Shoes &amp; Jewelry","72,410","18","$414","375 ","4.7","-"
"23","Disney Walt Disney World 50th Anniversary T-Shirt","http://www.amazon.com//dp/B09P9R72RL","Visit the Disney Store","1","511","$22.99","Clothing, Shoes &amp; Jewelry","48,999","20","$460","815 ","4.6","-"
"24","Life is Good. Mens Crusher Tee I'll Be Watching You, Darkest Blue","http://www.amazon.com//dp/B07TMQ82NK","Visit the Life is Good Store","1","1","$29.50","Clothing, Shoes &amp; Jewelry","43,073","22","$649","1,881 ","4.7","-"
"25","Disney Mickey Mouse Americana Ears shape T-Shirt","http://www.amazon.com//dp/B07DR7258X","Visit the Disney Store","1","198","$22.99","Clothing, Shoes &amp; Jewelry","95,185","17","$391","1,358 ","4.7","-"
